,Rank,Word,Part of speech,Frequency,Dispersion,Know
1377,1377,regular,j,27244.0,0.96,
1378,1378,spread,v,27266.0,0.96,
1379,1379,chairman,n,28560.0,0.92,
1380,1380,baseball,n,28551.0,0.92,
1381,1381,soft,j,27970.0,0.94,
1382,1382,ignore,v,27023.0,0.97,
1383,1383,egg,n,27917.0,0.94,
1384,1384,measure,v,28612.0,0.91,
1385,1385,belief,n,28844.0,0.91,
1386,1386,demonstrate,v,29170.0,0.9,
1387,1387,anybody,p,28704.0,0.91,
1388,1388,murder,n,28335.0,0.92,
1389,1389,gift,n,27050.0,0.96,0.0
1390,1390,religion,n,28220.0,0.92,
1391,1391,review,n,28141.0,0.93,
1392,1392,editor,n,27734.0,0.94,
1393,1393,past,i,28278.0,0.92,
1394,1394,engage,v,28194.0,0.92,
1395,1395,coffee,n,28331.0,0.92,0.0
1396,1396,document,n,29437.0,0.88,
1397,1397,speed,n,27740.0,0.93,0.0
1398,1398,cross,v,27524.0,0.94,
1399,1399,influence,n,28387.0,0.91,
1400,1400,anyway,r,28170.0,0.92,0.0
1401,1401,threaten,v,26587.0,0.97,
1402,1402,commit,v,26943.0,0.96,
1403,1403,female,j,27952.0,0.92,0.0
1404,1404,youth,n,27755.0,0.93,
1405,1405,wave,n,26844.0,0.96,
1406,1406,move,n,26717.0,0.96,0.0
1407,1407,afraid,j,27727.0,0.93,
1408,1408,quarter,n,27125.0,0.95,
1409,1409,background,n,26907.0,0.96,
1410,1410,native,j,28026.0,0.92,
1411,1411,broad,j,27191.0,0.94,
1412,1412,wonderful,j,27494.0,0.93,
1413,1413,deny,v,26675.0,0.96,
1414,1414,apparently,r,26513.0,0.97,
1415,1415,slightly,r,26887.0,0.95,
1416,1416,reaction,n,26771.0,0.96,
1417,1417,twice,r,26450.0,0.97,0.0
1418,1418,suit,n,27066.0,0.95,0.0
1419,1419,perspective,n,28324.0,0.9,
1420,1420,growing,j,26858.0,0.95,
1421,1421,blow,v,27254.0,0.94,
1422,1422,construction,n,27114.0,0.94,
1423,1423,kind,r,29474.0,0.86,0.0
1424,1424,intelligence,n,27555.0,0.92,
1425,1425,destroy,v,26177.0,0.97,
1426,1426,cook,v,27725.0,0.91,
1427,1427,connection,n,26552.0,0.95,
1428,1428,charge,v,26432.0,0.96,
1429,1429,burn,v,26646.0,0.95,
1430,1430,shoe,n,26945.0,0.94,
1431,1431,view,v,27258.0,0.92,0.0
1432,1432,grade,n,27178.0,0.92,
1433,1433,context,n,29113.0,0.86,
1434,1434,committee,n,26697.0,0.94,
1435,1435,hey,u,27659.0,0.91,
1436,1436,mistake,n,26080.0,0.96,0.0
1437,1437,focus,n,26815.0,0.93,
1438,1438,smile,n,28698.0,0.87,
1439,1439,location,n,26463.0,0.94,
1440,1440,clothes,n,27033.0,0.92,
1441,1441,Indian,j,27100.0,0.92,
1442,1442,quiet,j,26732.0,0.93,
1443,1443,dress,v,26669.0,0.93,
1444,1444,promise,v,25720.0,0.97,
1445,1445,aware,j,25503.0,0.97,
1446,1446,neighbor,n,25497.0,0.97,
1447,1447,complete,j,25699.0,0.97,
1448,1448,drive,n,26373.0,0.94,
1449,1449,function,n,28011.0,0.88,0.0
1450,1450,bone,n,26282.0,0.94,
1451,1451,active,j,26507.0,0.93,
1452,1452,extend,v,25969.0,0.95,
1453,1453,chief,j,26456.0,0.93,
1454,1454,average,n,26568.0,0.93,
1455,1455,combine,v,26570.0,0.93,
1456,1456,wine,n,26682.0,0.92,
1457,1457,below,r,26765.0,0.92,
1458,1458,cool,j,26279.0,0.94,0.0
1459,1459,voter,n,27768.0,0.89,
1460,1460,mean,n,28991.0,0.85,0.0
1461,1461,demand,v,25207.0,0.97,
1462,1462,learning,n,28869.0,0.85,
1463,1463,bus,n,25850.0,0.95,
1464,1464,hell,n,27278.0,0.9,
1465,1465,dangerous,j,25170.0,0.97,
1466,1466,remind,v,25525.0,0.96,
1467,1467,moral,j,26980.0,0.91,
1468,1468,United,j,26396.0,0.93,
1469,1469,category,n,27219.0,0.9,
1470,1470,relatively,r,26476.0,0.92,
1471,1471,victory,n,26422.0,0.92,
1472,1472,key,n,25436.0,0.96,0.0
1473,1473,academic,j,28216.0,0.86,
1474,1474,visit,n,25000.0,0.97,
1475,1475,Internet,n,26983.0,0.9,
1476,1476,healthy,j,26009.0,0.94,
1477,1477,fire,v,25390.0,0.96,
1478,1478,negative,j,26847.0,0.9,
1479,1479,following,j,26643.0,0.91,
1480,1480,historical,j,27266.0,0.89,
1481,1481,medicine,n,25511.0,0.95,
1482,1482,tour,n,25781.0,0.94,
1483,1483,depend,v,25405.0,0.95,
1484,1484,photo,n,25492.0,0.94,0.0
1485,1485,finding,n,28246.0,0.85,
1486,1486,grab,v,26951.0,0.89,
1487,1487,direct,j,26008.0,0.92,
1488,1488,classroom,n,27531.0,0.87,0.0
1489,1489,contact,n,25218.0,0.95,
1490,1490,justice,n,25377.0,0.95,
1491,1491,participate,v,26500.0,0.91,
1492,1492,daily,j,25179.0,0.95,
1493,1493,fair,j,25064.0,0.96,
1494,1494,pair,n,25289.0,0.95,
1495,1495,famous,j,24631.0,0.97,0.0
1496,1496,exercise,n,25934.0,0.92,
1497,1497,knee,n,25912.0,0.92,0.0
1498,1498,flower,n,25642.0,0.93,
1499,1499,tape,n,25730.0,0.93,
1500,1500,hire,v,25073.0,0.95,
1501,1501,familiar,j,24515.0,0.97,
1502,1502,appropriate,j,26237.0,0.91,
1503,1503,supply,n,24920.0,0.96,
1504,1504,fully,r,24842.0,0.96,
1505,1505,cut,n,25327.0,0.94,0.0
1506,1506,will,n,24351.0,0.98,0.0
1507,1507,actor,n,24848.0,0.96,
1508,1508,birth,n,24515.0,0.97,0.0
1509,1509,search,n,27087.0,0.87,0.0
1510,1510,tie,v,24408.0,0.97,
1511,1511,democracy,n,26039.0,0.91,
1512,1512,eastern,j,25103.0,0.94,
1513,1513,primary,j,26043.0,0.9,
1514,1514,yesterday,r,26215.0,0.9,0.0
1515,1515,circle,n,24735.0,0.95,
1516,1516,device,n,24918.0,0.94,
1517,1517,progress,n,24645.0,0.95,
1518,1518,next,i,25720.0,0.91,0.0
1519,1519,front,n,24402.0,0.96,
1520,1520,bottom,n,24653.0,0.95,
1521,1521,island,n,24311.0,0.96,
1522,1522,exchange,n,24826.0,0.94,
1523,1523,clean,j,24325.0,0.96,0.0
1524,1524,studio,n,24765.0,0.94,
1525,1525,train,v,23990.0,0.97,0.0
1526,1526,lady,n,25436.0,0.92,0.0
1527,1527,colleague,n,24370.0,0.95,
1528,1528,application,n,25735.0,0.9,
1529,1529,neck,n,25716.0,0.9,
1530,1530,lean,v,26896.0,0.86,
1531,1531,damage,n,24155.0,0.96,
1532,1532,plastic,n,24563.0,0.94,
1533,1533,tall,j,25304.0,0.92,
1534,1534,plate,n,24592.0,0.94,
1535,1535,hate,v,24921.0,0.93,
1536,1536,otherwise,r,23793.0,0.97,
1537,1537,writing,n,24995.0,0.92,
1538,1538,press,v,24716.0,0.93,
1539,1539,male,j,24873.0,0.93,0.0
1540,1540,start,n,24071.0,0.96,
1541,1541,alive,j,24184.0,0.95,
1542,1542,expression,n,24748.0,0.93,
1543,1543,football,n,25271.0,0.91,
1544,1544,intend,v,23554.0,0.97,
1545,1545,attack,v,23971.0,0.95,
1546,1546,chicken,n,24465.0,0.93,
1547,1547,army,n,23929.0,0.95,
1548,1548,abuse,n,24534.0,0.93,
1549,1549,theater,n,24447.0,0.93,
1550,1550,shut,v,24773.0,0.92,0.0
1551,1551,map,n,23666.0,0.96,0.0
1552,1552,extra,j,24006.0,0.95,
1553,1553,session,n,24010.0,0.95,
1554,1554,danger,n,23244.0,0.97,0.0
1555,1555,welcome,v,25241.0,0.9,0.0
1556,1556,domestic,j,24313.0,0.93,
1557,1557,lots,p,23750.0,0.95,0.0
1558,1558,literature,n,26254.0,0.86,
1559,1559,rain,n,24134.0,0.93,0.0
1560,1560,desire,n,23994.0,0.94,
1561,1561,assessment,n,26318.0,0.85,
1562,1562,injury,n,23935.0,0.94,
1563,1563,respect,n,23274.0,0.96,
1564,1564,northern,j,23783.0,0.94,
1565,1565,nod,v,27283.0,0.82,
1566,1566,paint,v,24038.0,0.93,
1567,1567,fuel,n,23934.0,0.94,
1568,1568,leaf,n,24044.0,0.93,
1569,1569,direct,v,23298.0,0.96,
1570,1570,dry,j,23809.0,0.94,
1571,1571,Russian,j,23739.0,0.94,
1572,1572,instruction,n,25190.0,0.89,
1573,1573,fight,n,23211.0,0.96,
1574,1574,pool,n,23346.0,0.96,
1575,1575,climb,v,24367.0,0.92,
1576,1576,sweet,j,23843.0,0.94,
1577,1577,lead,n,23301.0,0.96,
1578,1578,engine,n,23617.0,0.94,
1579,1579,fourth,m,23227.0,0.96,
1580,1580,salt,n,24711.0,0.9,
1581,1581,expand,v,23417.0,0.94,
1582,1582,importance,n,24946.0,0.89,
1583,1583,metal,n,23317.0,0.95,
1584,1584,fat,n,24844.0,0.89,0.0
1585,1585,ticket,n,23902.0,0.92,
1586,1586,software,n,23954.0,0.92,
1587,1587,disappear,v,23389.0,0.94,
1588,1588,corporate,j,23621.0,0.93,
1589,1589,strange,j,23744.0,0.93,
1590,1590,lip,n,25250.0,0.87,
1591,1591,reading,n,23919.0,0.92,
1592,1592,urban,j,23889.0,0.92,
1593,1593,mental,j,23650.0,0.93,
1594,1594,increasingly,r,23529.0,0.93,
1595,1595,lunch,n,23220.0,0.94,
1596,1596,educational,j,25282.0,0.87,
1597,1597,somewhere,r,23527.0,0.93,
1598,1598,farmer,n,23005.0,0.95,
1599,1599,above,r,23866.0,0.92,
1600,1600,sugar,n,24310.0,0.9,
1601,1601,planet,n,23567.0,0.93,
1602,1602,favorite,j,23159.0,0.94,
1603,1603,explore,v,23744.0,0.92,
1604,1604,obtain,v,24538.0,0.89,
1605,1605,enemy,n,22621.0,0.97,
1606,1606,greatest,j,22673.0,0.96,
1607,1607,complex,j,23751.0,0.92,
1608,1608,surround,v,22391.0,0.97,
1609,1609,athlete,n,23868.0,0.91,
1610,1610,invite,v,22158.0,0.98,
1611,1611,repeat,v,22622.0,0.96,
1612,1612,carefully,r,22837.0,0.95,0.0
1613,1613,soul,n,22713.0,0.96,
1614,1614,scientific,j,23691.0,0.92,
1615,1615,impossible,j,22233.0,0.98,
1616,1616,panel,n,22529.0,0.96,
1617,1617,meaning,n,24064.0,0.9,
1618,1618,mom,n,23450.0,0.92,
1619,1619,married,j,22352.0,0.97,
1620,1620,alone,j,23106.0,0.93,0.0
1621,1621,instrument,n,23831.0,0.91,
1622,1622,predict,v,22942.0,0.94,
1623,1623,weather,n,22586.0,0.95,
1624,1624,presidential,j,24057.0,0.89,
1625,1625,emotional,j,22773.0,0.94,
1626,1626,commitment,n,23152.0,0.93,
1627,1627,Supreme,j,23904.0,0.9,
1628,1628,bear,v,22190.0,0.97,
1629,1629,pocket,n,23580.0,0.91,
1630,1630,thin,j,23194.0,0.92,
1631,1631,temperature,n,23111.0,0.93,
1632,1632,surprise,n,22275.0,0.96,
1633,1633,poll,n,24009.0,0.89,
1634,1634,proposal,n,22830.0,0.94,
1635,1635,consequence,n,23307.0,0.92,
1636,1636,half,n,22029.0,0.97,0.0
1637,1637,breath,n,24668.0,0.87,
1638,1638,sight,n,22878.0,0.93,
1639,1639,cover,n,22301.0,0.96,
1640,1640,balance,n,22243.0,0.96,
1641,1641,adopt,v,22880.0,0.93,
1642,1642,minority,n,23167.0,0.92,
1643,1643,straight,r,22929.0,0.93,
1644,1644,attempt,v,22758.0,0.93,
1645,1645,connect,v,22100.0,0.96,
1646,1646,works,n,22722.0,0.93,
1647,1647,teaching,n,24387.0,0.87,
1648,1648,belong,v,21856.0,0.97,
1649,1649,aid,n,22642.0,0.93,
1650,1650,advice,n,21970.0,0.96,0.0
1651,1651,okay,r,24243.0,0.87,
1652,1652,photograph,n,22016.0,0.96,
1653,1653,empty,j,23365.0,0.9,0.0
1654,1654,regional,j,23182.0,0.91,
1655,1655,trail,n,23030.0,0.91,
1656,1656,novel,n,22392.0,0.94,
1657,1657,code,n,22015.0,0.95,0.0
1658,1658,somehow,r,22267.0,0.94,
1659,1659,organize,v,22389.0,0.94,
1660,1660,jury,n,24072.0,0.87,
1661,1661,breast,n,22362.0,0.94,
1662,1662,Iraqi,j,25446.0,0.82,
1663,1663,human,n,22022.0,0.95,
1664,1664,acknowledge,v,21983.0,0.95,
1665,1665,theme,n,22494.0,0.93,
1666,1666,storm,n,22562.0,0.93,
1667,1667,union,n,22380.0,0.93,
1668,1668,record,v,21939.0,0.95,
1669,1669,desk,n,23455.0,0.89,
1670,1670,fear,v,21333.0,0.98,
1671,1671,thanks,n,23061.0,0.9,
1672,1672,fruit,n,22401.0,0.93,
1673,1673,under,r,21521.0,0.97,
1674,1674,expensive,j,21706.0,0.96,
1675,1675,yellow,j,22452.0,0.93,0.0
1676,1676,conclusion,n,23034.0,0.9,
1677,1677,prime,j,22075.0,0.94,
1678,1678,shadow,n,22803.0,0.91,
1679,1679,struggle,v,21370.0,0.97,
1680,1680,conclude,v,22247.0,0.93,
1681,1681,analyst,n,22662.0,0.91,
1682,1682,dance,n,21799.0,0.95,
1683,1683,limit,n,21714.0,0.95,
1684,1684,like,j,21723.0,0.95,0.0
1685,1685,regulation,n,22479.0,0.92,
1686,1686,being,n,21695.0,0.95,0.0
1687,1687,last,v,21219.0,0.97,0.0
1688,1688,ring,n,21873.0,0.94,0.0
1689,1689,largely,r,22097.0,0.93,
1690,1690,shift,v,21323.0,0.96,
1691,1691,revenue,n,22445.0,0.92,
1692,1692,mark,v,21236.0,0.97,
1693,1693,locate,v,21843.0,0.94,
1694,1694,county,n,22675.0,0.9,0.0
1695,1695,appearance,n,21146.0,0.97,
1696,1696,package,n,21665.0,0.95,
1697,1697,difficulty,n,22288.0,0.92,
1698,1698,bridge,n,21497.0,0.95,
1699,1699,recommend,v,21707.0,0.94,
1700,1700,obvious,j,21052.0,0.97,
1701,1701,train,n,21766.0,0.94,0.0
1702,1702,basically,r,23265.0,0.88,
1703,1703,e-mail,n,22467.0,0.91,0.0
1704,1704,generate,v,22213.0,0.92,
1705,1705,anymore,r,21771.0,0.94,
1706,1706,propose,v,21691.0,0.94,
1707,1707,thinking,n,21663.0,0.94,0.0
1708,1708,possibly,r,20953.0,0.97,
1709,1709,trend,n,21894.0,0.93,
1710,1710,visitor,n,21490.0,0.95,
1711,1711,loan,n,22324.0,0.91,
1712,1712,currently,r,21636.0,0.94,
1713,1713,comfortable,j,21101.0,0.96,
1714,1714,investor,n,22410.0,0.91,
1715,1715,but,i,20961.0,0.97,0.0
1716,1716,profit,n,21754.0,0.93,0.0
1717,1717,angry,j,21485.0,0.94,
1718,1718,crew,n,21238.0,0.95,
1719,1719,deep,r,21413.0,0.95,0.0
1720,1720,accident,n,20964.0,0.97,
1721,1721,male,n,22398.0,0.9,0.0
1722,1722,meal,n,21556.0,0.94,
1723,1723,hearing,n,21560.0,0.94,
1724,1724,traffic,n,21296.0,0.95,
1725,1725,muscle,n,21931.0,0.92,
1726,1726,notion,n,21801.0,0.93,
1727,1727,capture,v,21018.0,0.96,
1728,1728,prefer,v,20946.0,0.96,
1729,1729,truly,r,20576.0,0.98,
1730,1730,earth,n,21350.0,0.94,
1731,1731,Japanese,j,21800.0,0.92,0.0
1732,1732,chest,n,22508.0,0.89,
1733,1733,search,v,20943.0,0.96,0.0
1734,1734,thick,j,21932.0,0.92,
1735,1735,cash,n,21343.0,0.94,
1736,1736,museum,n,21715.0,0.93,
1737,1737,beauty,n,21060.0,0.95,
1738,1738,emergency,n,20796.0,0.96,
1739,1739,unique,j,21436.0,0.93,
1740,1740,feature,v,21678.0,0.92,
1741,1741,internal,j,22025.0,0.91,
1742,1742,ethnic,j,22632.0,0.88,
1743,1743,link,v,21335.0,0.94,0.0
1744,1744,stress,n,21813.0,0.92,
1745,1745,content,n,21821.0,0.91,
1746,1746,select,v,21617.0,0.92,
1747,1747,root,n,20774.0,0.96,
1748,1748,nose,n,21938.0,0.91,
1749,1749,declare,v,20550.0,0.97,
1750,1750,outside,r,21556.0,0.92,
1751,1751,appreciate,v,20806.0,0.95,
1752,1752,actual,j,21321.0,0.93,
1753,1753,bottle,n,21569.0,0.92,
1754,1754,hardly,r,20757.0,0.95,
1755,1755,setting,n,22004.0,0.9,
1756,1756,launch,v,20767.0,0.95,
1757,1757,dress,n,21362.0,0.92,
1758,1758,file,n,20832.0,0.95,
1759,1759,sick,j,20906.0,0.94,
1760,1760,outcome,n,22721.0,0.87,
1761,1761,ad,n,21064.0,0.93,
1762,1762,defend,v,20510.0,0.96,
1763,1763,matter,v,20534.0,0.96,0.0
1764,1764,judge,v,20320.0,0.97,
1765,1765,duty,n,20204.0,0.97,
1766,1766,sheet,n,20787.0,0.94,
1767,1767,ought,v,21552.0,0.91,0.0
1768,1768,ensure,v,21341.0,0.92,
1769,1769,Catholic,j,20866.0,0.94,
1770,1770,extremely,r,20310.0,0.96,
1771,1771,extent,n,21727.0,0.9,
1772,1772,component,n,22085.0,0.88,
1773,1773,mix,v,20642.0,0.95,
1774,1774,long-term,j,20841.0,0.94,
1775,1775,slow,j,20404.0,0.96,
1776,1776,contrast,n,21581.0,0.91,
1777,1777,zone,n,20472.0,0.95,
1778,1778,wake,v,21330.0,0.91,
1779,1779,challenge,v,20510.0,0.95,
1780,1780,airport,n,20897.0,0.93,
1781,1781,chief,n,20453.0,0.95,
1782,1782,brown,j,21175.0,0.92,
1783,1783,standard,j,20917.0,0.93,
1784,1784,shirt,n,21486.0,0.9,
1785,1785,pilot,n,20192.0,0.96,
1786,1786,warn,v,19996.0,0.97,
1787,1787,ultimately,r,20387.0,0.95,
1788,1788,cat,n,21135.0,0.92,
1789,1789,contribution,n,20912.0,0.92,
1790,1790,capacity,n,21102.0,0.92,
1791,1791,ourselves,p,19926.0,0.97,
1792,1792,estate,n,20673.0,0.93,
1793,1793,guide,n,20646.0,0.93,
1794,1794,circumstance,n,20310.0,0.95,
1795,1795,snow,n,21011.0,0.92,
1796,1796,English,j,20235.0,0.95,0.0
1797,1797,politician,n,20360.0,0.95,
1798,1798,steal,v,20296.0,0.95,
1799,1799,pursue,v,20136.0,0.96,
1800,1800,slip,v,21233.0,0.91,
1801,1801,percentage,n,20774.0,0.92,
1802,1802,meat,n,20271.0,0.95,
1803,1803,funny,j,20399.0,0.94,
1804,1804,neither,r,20100.0,0.95,
1805,1805,soil,n,20916.0,0.91,
1806,1806,influence,v,21448.0,0.89,
1807,1807,surgery,n,20118.0,0.95,
1808,1808,correct,j,20613.0,0.93,
1809,1809,Jewish,j,20196.0,0.94,
1810,1810,blame,v,19798.0,0.96,
1811,1811,estimate,v,20474.0,0.93,
1812,1812,due,i,21141.0,0.9,
1813,1813,basketball,n,20955.0,0.91,
1814,1814,late,r,19727.0,0.96,
1815,1815,golf,n,20979.0,0.91,
1816,1816,investigate,v,20117.0,0.94,
1817,1817,crazy,j,20345.0,0.93,0.0
1818,1818,significantly,r,22038.0,0.86,
1819,1819,chain,n,19688.0,0.96,
1820,1820,address,n,19564.0,0.97,
1821,1821,branch,n,19633.0,0.96,
1822,1822,combination,n,20026.0,0.94,
1823,1823,just,j,20096.0,0.94,
1824,1824,frequently,r,20508.0,0.92,
1825,1825,governor,n,20802.0,0.91,
1826,1826,relief,n,19493.0,0.97,
1827,1827,user,n,20681.0,0.91,
1828,1828,dad,n,20164.0,0.94,
1829,1829,kick,v,20092.0,0.94,
1830,1830,part,r,19900.0,0.95,0.0
1831,1831,manner,n,20012.0,0.94,
1832,1832,ancient,j,19818.0,0.95,
1833,1833,silence,n,21169.0,0.89,
1834,1834,rating,n,20413.0,0.92,
1835,1835,golden,j,19852.0,0.95,
1836,1836,motion,n,19649.0,0.95,
1837,1837,German,j,20096.0,0.93,
1838,1838,gender,n,22190.0,0.85,
1839,1839,solve,v,19501.0,0.96,
1840,1840,fee,n,20263.0,0.93,
1841,1841,landscape,n,20171.0,0.93,
1842,1842,used,j,19130.0,0.98,
1843,1843,bowl,n,20662.0,0.91,
1844,1844,equal,j,19952.0,0.94,
1845,1845,long,c,19227.0,0.97,0.0
1846,1846,official,j,19628.0,0.95,
1847,1847,forth,r,19531.0,0.96,
1848,1848,frame,n,20016.0,0.93,
1849,1849,typical,j,19724.0,0.95,
1850,1850,except,i,19594.0,0.95,
1851,1851,conservative,j,19778.0,0.94,
1852,1852,eliminate,v,19773.0,0.94,
1853,1853,host,n,19389.0,0.96,
1854,1854,hall,n,20236.0,0.92,
1855,1855,trust,v,19482.0,0.95,
1856,1856,ocean,n,19421.0,0.96,
1857,1857,score,v,20391.0,0.91,
1858,1858,row,n,19519.0,0.95,
1859,1859,producer,n,19679.0,0.94,
1860,1860,afford,v,19035.0,0.97,
1861,1861,meanwhile,r,19504.0,0.95,
1862,1862,regime,n,21101.0,0.88,
1863,1863,division,n,19772.0,0.94,
1864,1864,confirm,v,19327.0,0.96,
1865,1865,fix,v,19349.0,0.96,
1866,1866,appeal,n,19561.0,0.95,
1867,1867,mirror,n,20081.0,0.92,
1868,1868,tooth,n,20515.0,0.9,
1869,1869,smart,j,19370.0,0.95,
1870,1870,length,n,19624.0,0.94,
1871,1871,entirely,r,19075.0,0.97,
1872,1872,rely,v,19614.0,0.94,
1873,1873,topic,n,20640.0,0.89,
1874,1874,complain,v,19102.0,0.97,
1875,1875,issue,v,19300.0,0.95,
1876,1876,variable,n,22868.0,0.81,
1877,1877,back,v,19213.0,0.96,
1878,1878,range,v,20067.0,0.92,
1879,1879,telephone,n,19311.0,0.95,
1880,1880,perception,n,21086.0,0.87,
1881,1881,attract,v,19197.0,0.96,
1882,1882,confidence,n,18955.0,0.97,
1883,1883,bedroom,n,20387.0,0.9,
1884,1884,secret,n,19125.0,0.96,
1885,1885,debt,n,19506.0,0.94,
1886,1886,rare,j,18978.0,0.97,
1887,1887,his,p,19663.0,0.93,
1888,1888,tank,n,19158.0,0.95,
1889,1889,nurse,n,19385.0,0.94,0.0
1890,1890,coverage,n,19522.0,0.94,
1891,1891,opposition,n,19847.0,0.92,
1892,1892,aside,r,19056.0,0.96,
1893,1893,anywhere,r,18970.0,0.96,
1894,1894,bond,n,19856.0,0.92,
1895,1895,file,v,19416.0,0.94,
1896,1896,pleasure,n,19099.0,0.96,
1897,1897,master,n,18880.0,0.96,0.0
1898,1898,era,n,19209.0,0.95,
1899,1899,requirement,n,20358.0,0.89,
1900,1900,check,n,18764.0,0.97,
1901,1901,stand,n,18910.0,0.96,
1902,1902,fun,n,18984.0,0.96,0.0
1903,1903,expectation,n,19603.0,0.92,
1904,1904,wing,n,19028.0,0.95,
1905,1905,separate,j,19064.0,0.95,
1906,1906,now,c,19126.0,0.95,0.0
1907,1907,clear,v,19013.0,0.95,0.0
1908,1908,struggle,n,19014.0,0.95,
1909,1909,mean,j,19792.0,0.91,0.0
1910,1910,somewhat,r,18801.0,0.96,
1911,1911,pour,v,19300.0,0.93,
1912,1912,stir,v,20174.0,0.89,
1913,1913,judgment,n,19315.0,0.93,
1914,1914,clean,v,18766.0,0.96,0.0
1915,1915,except,c,18857.0,0.95,0.0
1916,1916,beer,n,19349.0,0.93,0.0
1917,1917,English,n,18719.0,0.96,0.0
1918,1918,reference,n,19559.0,0.92,
1919,1919,tear,n,19819.0,0.9,
1920,1920,doubt,n,18542.0,0.97,
1921,1921,grant,v,18598.0,0.96,
1922,1922,seriously,r,18328.0,0.98,
1923,1923,account,v,19403.0,0.92,
1924,1924,minister,n,19154.0,0.93,
1925,1925,totally,r,18720.0,0.95,
1926,1926,hero,n,18348.0,0.97,
1927,1927,industrial,j,19413.0,0.92,
1928,1928,cloud,n,19214.0,0.92,
1929,1929,stretch,v,19014.0,0.93,
1930,1930,winner,n,19216.0,0.92,0.0
1931,1931,volume,n,18989.0,0.93,
1932,1932,travel,n,18634.0,0.95,
1933,1933,seed,n,19079.0,0.93,
1934,1934,surprised,j,18822.0,0.94,
1935,1935,rest,v,18915.0,0.94,
1936,1936,fashion,n,18483.0,0.96,
1937,1937,pepper,n,20220.0,0.87,
1938,1938,separate,v,18251.0,0.97,
1939,1939,busy,j,18500.0,0.95,0.0
1940,1940,intervention,n,21021.0,0.84,
1941,1941,copy,n,18244.0,0.97,
1942,1942,tip,n,18868.0,0.93,
1943,1943,below,i,18353.0,0.96,
1944,1944,cheap,j,18371.0,0.96,
1945,1945,aim,v,18194.0,0.97,
1946,1946,cite,v,19011.0,0.93,
1947,1947,welfare,n,19580.0,0.9,
1948,1948,vegetable,n,19363.0,0.91,
1949,1949,gray,j,19408.0,0.9,
1950,1950,dish,n,18887.0,0.93,
1951,1951,beach,n,18451.0,0.95,
1952,1952,improvement,n,18977.0,0.92,
1953,1953,everywhere,r,18126.0,0.96,0.0
1954,1954,opening,n,18058.0,0.97,
1955,1955,overall,j,19031.0,0.92,
1956,1956,divide,v,18337.0,0.95,
1957,1957,initial,j,19019.0,0.92,
1958,1958,terrible,j,18659.0,0.93,
1959,1959,oppose,v,18484.0,0.94,
1960,1960,contemporary,j,19293.0,0.9,
1961,1961,route,n,18313.0,0.95,
1962,1962,multiple,j,19512.0,0.89,
1963,1963,essential,j,19030.0,0.91,
1964,1964,question,v,17924.0,0.97,
1965,1965,league,n,19766.0,0.88,
1966,1966,criminal,j,18424.0,0.94,
1967,1967,careful,j,17885.0,0.97,
1968,1968,core,n,18571.0,0.93,
1969,1969,upper,j,18196.0,0.95,
1970,1970,rush,v,18561.0,0.93,
1971,1971,necessarily,r,18334.0,0.94,
1972,1972,specifically,r,18873.0,0.92,
1973,1973,tired,j,18597.0,0.93,
1974,1974,rise,n,18055.0,0.96,
1975,1975,tie,n,17787.0,0.97,
1976,1976,employ,v,18912.0,0.91,
1977,1977,holiday,n,18299.0,0.94,0.0
1978,1978,dance,v,18263.0,0.94,
1979,1979,vast,j,17836.0,0.96,
1980,1980,resolution,n,18922.0,0.91,
1981,1981,household,n,18450.0,0.93,
1982,1982,fewer,d,18223.0,0.94,
1983,1983,abortion,n,18925.0,0.91,
1984,1984,apart,r,17872.0,0.96,
1985,1985,witness,n,18920.0,0.91,
1986,1986,match,v,17788.0,0.97,
1987,1987,barely,r,18533.0,0.93,
1988,1988,sector,n,19103.0,0.9,
1989,1989,representative,n,18189.0,0.94,
1990,1990,lack,v,18215.0,0.94,
1991,1991,beneath,i,19047.0,0.9,
1992,1992,beside,i,19952.0,0.86,
1993,1993,black,n,18441.0,0.93,
1994,1994,incident,n,17880.0,0.96,
1995,1995,limited,j,18532.0,0.92,
1996,1996,proud,j,17841.0,0.96,
1997,1997,flow,n,18469.0,0.92,
1998,1998,faculty,n,20104.0,0.85,
1999,1999,increased,j,18984.0,0.9,
2000,2000,waste,n,19069.0,0.89,
2001,2001,merely,r,18094.0,0.94,
2002,2002,mass,n,18107.0,0.94,
2003,2003,emphasize,v,18933.0,0.9,
2004,2004,experiment,n,18440.0,0.92,
2005,2005,definitely,r,18214.0,0.93,
2006,2006,bomb,n,18284.0,0.93,
2007,2007,enormous,j,17482.0,0.97,
2008,2008,tone,n,17954.0,0.95,
2009,2009,liberal,j,18228.0,0.93,
2010,2010,massive,j,17551.0,0.97,
2011,2011,engineer,n,17991.0,0.94,
2012,2012,wheel,n,18296.0,0.93,
2013,2013,female,n,18932.0,0.9,
2014,2014,decline,v,18058.0,0.94,
2015,2015,invest,v,18080.0,0.94,
2016,2016,promise,n,17342.0,0.98,
2017,2017,cable,n,18277.0,0.93,
2018,2018,towards,i,18305.0,0.93,
2019,2019,expose,v,17581.0,0.96,
2020,2020,rural,j,18665.0,0.91,
2021,2021,AIDS,n,19384.0,0.87,
2022,2022,Jew,n,17893.0,0.95,
